الشهر,عدد الايتام,الرصيد الافتتاحي,الميزانيه,الفعلي,المتبقي,,الشهر,عدد الايتام,الرصيد الافتتاحي,الميزانيه,الفعلي,المتبقي,,,,,,,
٠١-Oct-٢٠٢٠,56,0,5600,1000,4600,,٠١-Oct-٢٠٢٠,56,0,5600,5500,100,,,,,,,
٠١-Nov-٢٠٢٠,57,4600,5700,,10300,,٠١-Nov-٢٠٢٠,57,100,5700,5700,100,,,,,,,
٠١-Dec-٢٠٢٠,57,10300,5700,,16000,,٠١-Dec-٢٠٢٠,57,100,5700,5700,100,,,,,,,
٠١-Jan-٢٠٢١,57,16000,5700,,21700,,٠١-Jan-٢٠٢١,57,100,5700,5700,100,,,,,,,
٠١-Feb-٢٠٢١,71,21700,7100,,28800,,٠١-Feb-٢٠٢١,71,100,7100,7100,100,,,,,,,
٠١-Mar-٢٠٢١,73,28800,7300,,36100,,٠١-Mar-٢٠٢١,73,100,7300,7300,100,,,,,,,
٠١-Apr-٢٠٢١,76,36100,,,43700,,٠١-Apr-٢٠٢١,76,100,7600,7600,100,,,,,,,
٠١-May-٢٠٢١,84,43700,8400,4200,47900,,٠١-May-٢٠٢١,84,100,8400,8400,100,,,,,,,
٠١-Jun-٢٠٢١,84,47900,8400,0,56300,,٠١-Jun-٢٠٢١,84,100,8400,8400,100,,,,,,,
٠١-Jul-٢٠٢١,84,56300,8400,4200,60500,,٠١-Jul-٢٠٢١,84,100,8400,8400,100,,,,,,,
٠١-Aug-٢٠٢١,85,60500,8500,,69000,,٠١-Aug-٢٠٢١,85,100,8500,8500,100,,,,,,,
٠١-Sep-٢٠٢١,85,69000,8500,,77500,,٠١-Sep-٢٠٢١,85,100,8500,8500,100,,,,,,,
٠١-Oct-٢٠٢١,85,77500,8500,,86000,,٠١-Oct-٢٠٢١,85,100,8500,8500,100,,,,,,,
٠١-Nov-٢٠٢١,85,86000,8500,,94500,,٠١-Nov-٢٠٢١,85,100,8500,8500,100,,,,,,,
٠١-Dec-٢٠٢١,85,94500,8500,,103000,,٠١-Dec-٢٠٢١,85,100,8500,8500,100,,,,,,,
٠١-Jan-٢٠٢٢,85,103000,8500,,111500,,٠١-Jan-٢٠٢٢,85,100,8500,8500,100,,,,,,,
٠١-Feb-٢٠٢٢,90,111500,9000,125,120375,,٠١-Feb-٢٠٢٢,90,100,9000,9000,100,,,,,,,
٠١-Mar-٢٠٢٢,90,120375,9000,600,128775,,٠١-Mar-٢٠٢٢,90,100,9000,9000,100,,,,,,,
٠١-Apr-٢٠٢٢,101,128775,10100,11220,127655,,٠١-Apr-٢٠٢٢,101,100,10100,10100,100,,,,,,,
٠١-May-٢٠٢٢,114,127655,11400,3195,135860,,٠١-May-٢٠٢٢,114,100,11400,11400,100,,,,,,,
٠١-Jun-٢٠٢٢,116,135860,11600,2320,145140,,٠١-Jun-٢٠٢٢,116,100,11600,11600,100,,,,,,,
٠١-Jul-٢٠٢٢,130,145140,13000,8400,149740,,٠١-Jul-٢٠٢٢,130,100,13000,13000,100,,,,,,,
٠١-Aug-٢٠٢٢,130,149740,13000,4430,158310,,٠١-Aug-٢٠٢٢,130,100,13000,13000,100,,,,,,,
٠٢-Sep-٢٠٢٢,130,158310,13000,5180,166130,,٠٢-Sep-٢٠٢٢,130,100,13000,13000,100,,,,,,,
٠١-Oct-٢٠٢٢,134,166130,2010,,168140,,٠١-Oct-٢٠٢٢,134,100,20100,20100,100,,,,,,,
٠٢-Nov-٢٠٢٢,134,168140,2010,,170150,,٠٢-Nov-٢٠٢٢,134,100,20100,20100,100,,,,,,,
٠٣-Dec-٢٠٢٢,134,170150,2010,,172160,,٠٣-Dec-٢٠٢٢,134,100,20100,20100,100,,,,,,,
٠٤-Jan-٢٠٢٣,139,172160,2085,,174245,,٠٤-Jan-٢٠٢٣,139,100,20850,20850,100,,,,,,,
٠٤-Feb-٢٠٢٣,139,174245,2085,,176330,,٠٤-Feb-٢٠٢٣,139,100,20850,20850,100,,,,,,,
٠٥-Mar-٢٠٢٣,142,176330,2130,,178460,,٠٥-Mar-٢٠٢٣,142,100,42600,42600,100,,,,,,,
٠٦-Apr-٢٠٢٣,144,178460,2160,,180620,,٠٦-Apr-٢٠٢٣,144,100,43200,43200,100,,,,,,,
٠٦-May-٢٠٢٣,155,180620,2325,,182945,,٠٦-May-٢٠٢٣,155,100,46500,46500,100,,,,,,,
٠٧-Jun-٢٠٢٣,155,182945,2325,,185270,,٠٧-Jun-٢٠٢٣,155,100,46500,46500,100,,,,,,,
٠٧-Jul-٢٠٢٣,155,185270,2325,,187595,,٠٧-Jul-٢٠٢٣,155,100,46500,46500,100,,,,,,,
٠٨-Aug-٢٠٢٣,150,187595,2250,,189845,,٠٨-Aug-٢٠٢٣,150,100,45000,45000,100,,,,,,,
٠٩-Sep-٢٠٢٣,153,189845,2295,,192140,,٠٩-Sep-٢٠٢٣,153,100,45900,45900,100,,,,,,,
١٠-Oct-٢٠٢٣,157,192140,2355,2400,192095,,١٠-Oct-٢٠٢٣,157,100,47100,47100,100,,,,,,,
